store_id,transaction_id,timestamp,basket_value_inr
ST1008,TXN_1,2026-04-10T12:15:05Z,302.33
ST1008,TXN_2,2026-04-10T12:15:05Z,491.77
ST1008,TXN_3,2026-04-10T12:15:05Z,453.88
ST1008,TXN_4,2026-04-10T12:42:18Z,1.0
ST1008,TXN_5,2026-04-10T12:42:18Z,397.38
ST1008,TXN_6,2026-04-10T12:42:18Z,199.0
ST1008,TXN_7,2026-04-10T12:42:18Z,614.54
ST1008,TXN_8,2026-04-10T12:42:18Z,469.77
ST1008,TXN_9,2026-04-10T12:42:18Z,397.38
ST1008,TXN_10,2026-04-10T12:42:18Z,445.5
ST1008,TXN_11,2026-04-10T12:42:18Z,216.42
ST1008,TXN_12,2026-04-10T12:42:18Z,1085.03
ST1008,TXN_13,2026-04-10T12:42:18Z,172.8
ST1008,TXN_14,2026-04-10T12:42:18Z,288.81
ST1008,TXN_15,2026-04-10T12:42:18Z,315.0
ST1008,TXN_16,2026-04-10T12:42:18Z,325.0
ST1008,TXN_17,2026-04-10T12:42:18Z,90.0
ST1008,TXN_18,2026-04-10T12:42:18Z,614.54
ST1008,TXN_19,2026-04-10T12:42:18Z,321.0
ST1008,TXN_20,2026-04-10T12:42:18Z,275.0
ST1008,TXN_21,2026-04-10T12:42:18Z,578.34
ST1008,TXN_22,2026-04-10T12:42:18Z,198.0
ST1008,TXN_23,2026-04-10T12:42:18Z,90.0
ST1008,TXN_24,2026-04-10T12:42:18Z,0.0
ST1008,TXN_25,2026-04-10T12:42:18Z,578.34
ST1008,TXN_26,2026-04-10T12:42:18Z,249.0
ST1008,TXN_27,2026-04-10T12:42:18Z,321.38
ST1008,TXN_28,2026-04-10T13:41:55Z,49.5
ST1008,TXN_29,2026-04-10T13:41:55Z,49.5
ST1008,TXN_30,2026-04-10T13:41:55Z,49.5
ST1008,TXN_31,2026-04-10T13:41:55Z,49.5
ST1008,TXN_32,2026-04-10T13:55:16Z,0.0
ST1008,TXN_33,2026-04-10T13:55:16Z,199.0
ST1008,TXN_34,2026-04-10T14:23:21Z,225.0
ST1008,TXN_35,2026-04-10T15:02:20Z,314.8
ST1008,TXN_36,2026-04-10T15:02:20Z,255.34
ST1008,TXN_37,2026-04-10T15:02:20Z,244.84
ST1008,TXN_38,2026-04-10T15:46:39Z,599.0
ST1008,TXN_39,2026-04-10T15:50:44Z,400.0
ST1008,TXN_40,2026-04-10T15:50:44Z,0.0
ST1008,TXN_41,2026-04-10T16:08:03Z,799.0
ST1008,TXN_42,2026-04-10T16:45:32Z,553.17
ST1008,TXN_43,2026-04-10T16:45:32Z,0.0
ST1008,TXN_44,2026-04-10T16:45:32Z,691.64
ST1008,TXN_45,2026-04-10T16:45:32Z,1278.0
ST1008,TXN_46,2026-04-10T16:45:32Z,1.0
ST1008,TXN_47,2026-04-10T16:45:32Z,553.17
ST1008,TXN_48,2026-04-10T16:55:36Z,274.36
ST1008,TXN_49,2026-04-10T16:55:36Z,181.76
ST1008,TXN_50,2026-04-10T16:55:36Z,273.67
ST1008,TXN_51,2026-04-10T16:55:36Z,249.0
ST1008,TXN_52,2026-04-10T16:55:36Z,188.62
